,微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,sentiment,negative_prob,abnormal
1404,112,77,217,1,0,0,0,1,-0.599927,0.819967,0
1405,351,99,11000,0,0,0,0,1,0.638958,0.162469,0
1406,509,422,1000,1,1,0,0,1,-0.813162,0.915923,0
1407,88149,1125,1268000,1,1,1,0,1,-0.840722,0.928325,0
1408,368,260,125,1,0,0,0,1,-0.693785,0.862203,0
1409,518,127,222,1,0,0,0,0,0.997204,0.00125813,0
1410,48,18,3074,0,0,0,0,0,0.828901,0.0769944,0
1411,598,47,33,0,0,1,0,1,0.989084,0.00491204,0
1412,27116,948,11000,1,1,3,0,0,-0.42172,0.739774,0
1413,121,171,235,1,0,4,3,0,0.991164,0.00397618,0
1414,1912,1436,309,1,0,0,0,0,0.0,0.631391,0
1415,42,28,1,1,0,0,0,1,0.912495,0.0393774,0
1416,80,272,5,0,0,0,0,1,0.967397,0.0146713,0
1417,3549,277,3,1,0,0,0,0,0.997645,0.00105994,0
1418,10667,3321,546000,1,1,0,0,1,-0.99715,0.998718,0
1419,9752,4071,13000,1,1,7,1,0,0.949492,0.0227284,0
1420,461,316,89,1,0,0,0,0,-0.852468,0.933611,0
1421,182,121,38,1,0,0,0,1,0.999825,7.87586e-05,0
1422,3728,169,169,1,0,0,0,0,-0.96193,0.982868,0
1423,74187,7689,307000,1,1,0,0,1,0.559686,0.198142,0
1424,276122,3080,1680000,1,1,0,0,1,0.996642,0.00151109,0
1425,338,185,125,0,0,0,0,0,-0.994855,0.997685,0
1426,32330,342,72000,1,1,0,0,0,0.0,0.592435,0
1427,22,2,2,1,0,0,0,1,-0.999272,0.999672,0
1428,6068,952,711,1,1,1,5,1,0.999716,0.000127675,0
1429,40445,1069,722000,1,1,0,0,0,0.93042,0.031311,0
1430,240,275,280,1,0,2,1,1,-0.96776,0.985492,0
1431,9314,887,12000,1,1,1,1,0,0.0,0.405743,0
1432,11149,57,1051000,0,1,0,0,0,0.974158,0.0116286,0
1433,42979,2056,322000,0,1,6,0,1,0.951071,0.0220179,0
1434,10903,716,2215000,1,1,1341,145,1,-0.203381,0.641521,0
1435,178280,1267,18931000,1,1,340,65,1,0.0,0.57116,0
