微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,positive_prob,sentiment,confidence,negative_prob,abnormal
5277,50,131000,1,1,20,26,1,0.00260929,0,0.994202,0.997391,0
130177,646,1256000,1,1,15,16,1,0.745179,2,0.43373,0.254822,0
1422,154,101,1,0,0,0,1,0.00824721,0,0.981673,0.991753,0
308,9,6,1,0,0,2,1,0.973775,2,0.941722,0.026225,0
193,82,33,1,0,0,4,0,0.768651,2,0.485892,0.231349,0
1608,15,288,1,1,0,0,1,0.489567,1,0.791337,0.510433,0
415,36,36,1,0,1,0,1,0.677618,2,0.283595,0.322382,0
4900,320,194,1,0,0,1,0,0.0723481,0,0.839226,0.927652,0
2438,29,219,1,0,2,0,1,0.00375084,0,0.991665,0.996249,0
11279,845,149000,1,1,0,0,0,0.393128,0,0.126382,0.606872,0
7557,263,245,1,0,0,0,0,0.992824,2,0.984053,0.00717602,0
24355,243,701000,1,1,23,7,0,0.985146,2,0.966992,0.0148538,0
151135,1932,95474000,1,1,22,7,1,0.972096,2,0.93799,0.0279045,0
9449,602,150000,1,1,198,51,0,0.170745,0,0.620566,0.829255,0
171839,397,64952000,1,1,21,19,1,0.986262,2,0.969471,0.0137382,0
13106,737,49000,1,1,29,30,1,0.292538,0,0.349915,0.707462,0
92425,971,281000,1,1,140,29,1,0.871931,2,0.715402,0.128069,0
15362,384,3153000,1,1,27,1,1,0.991331,2,0.980735,0.00866915,0
4294,1243,241000,1,1,52,21,0,0.999531,2,0.998957,0.000469179,0
2160,2173,576,1,0,0,1,1,0.166133,0,0.630815,0.833867,0
1874,509,373,1,0,0,0,0,0.999526,2,0.998946,0.000474343,0
97035,122,349,0,1,0,0,0,0.704071,2,0.34238,0.295929,0
1965,196,114,1,0,0,0,1,0.130081,0,0.710932,0.869919,0
47,126,150,1,0,0,0,0,0.998477,2,0.996616,0.0015228,0
133,53,3,1,0,0,0,1,0.0520118,0,0.884418,0.947988,0
34475,758,303000,1,1,1,0,1,0.321143,0,0.286349,0.678857,0
180,356,223,1,0,0,0,0,0.00660267,0,0.985327,0.993397,0
278,73,48,1,0,0,0,0,0.852166,2,0.671479,0.147834,0
3351,465,629,1,0,0,0,1,0.995889,2,0.990864,0.00411141,0
43935,251,160000,1,1,53,2,1,0.797842,2,0.550759,0.202158,0
4561,513,10000,1,1,12,0,0,0.0491911,0,0.890686,0.950809,0
7089,199,259000,1,1,51,13,1,0.000152602,0,0.999661,0.999847,0
42283,766,1205000,1,1,241,27,1,0.756651,2,0.459223,0.243349,0
194613,877,6767000,1,1,6,2,1,0.150722,0,0.665062,0.849278,0
5748,41,51000,1,1,8,1,1,0.873,2,0.717778,0.127,0
2503,234,384,1,0,5,3,1,0.0851754,0,0.810721,0.914825,0
3688,859,328000,1,1,216,7,1,0.109058,0,0.75765,0.890942,0
27161,2922,4241,0,1,9,7,1,0.983918,2,0.964263,0.0160816,0
3855,240,370000,1,1,26,15,1,0.371898,0,0.173561,0.628102,0
68569,623,2032000,1,1,81,29,1,0.838515,2,0.641144,0.161485,0
120301,105,9858000,1,1,27,13,0,0.0103019,0,0.977107,0.989698,0
246675,1017,40359000,1,1,13,7,1,0.343453,0,0.236771,0.656547,0
663,60,137000,1,1,22479,4268,1,0.581854,2,0.0707871,0.418146,0
248132,1758,104000000,1,1,75,43,1,0.606543,2,0.125651,0.393457,0
27137,105,4180000,1,1,902,234,1,0.866067,2,0.702372,0.133933,0
45771,2239,268000,1,1,1270,90,1,0.373737,0,0.169474,0.626263,0
22347,598,7040000,1,1,17,3,1,0.827244,2,0.616098,0.172756,0
23478,357,211000,1,1,36,5,0,0.997484,2,0.994408,0.0025165,0
5126,886,11000,1,1,1,0,0,0.0147221,0,0.967284,0.985278,0
255,90,7,1,0,0,0,0,0.998863,2,0.997473,0.00113722,0
1228,270,118,1,0,0,1,0,0.99612,2,0.991377,0.00388024,0
321,232,434,1,0,0,1,1,0.999161,2,0.998135,0.000839019,0
449,44,1115,1,0,0,0,0,0.000483604,0,0.998925,0.999516,0
1992,775,648,1,0,1,0,1,0.000153861,0,0.999658,0.999846,0
6115,195,112,0,0,1,0,1,0.0270952,0,0.939789,0.972905,0
2783,446,431,1,0,0,0,1,1.9843E-06,0,0.999996,0.999998,0
