序号,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途,单价（元/平方米）
7347,金牛,高家庄,2室2厅1厨1卫,低楼层 (共18层),83.83,平层,板楼,东南,钢混结构,简装,有,44526,商品房,普通住宅,10700
7348,金牛,华侨城,2室2厅1厨1卫,高楼层 (共16层),62.39,平层,板楼,东,框架结构,精装,有,2021/11/27,商品房,普通住宅,9260
7349,金牛,蜀汉路,2室1厅1厨1卫,低楼层 (共7层),73.0,平层,板楼,东南,混合结构,精装,无,2021/11/20,已购公房,普通住宅,9400
7350,金牛,马鞍路,2室1厅1厨1卫,中楼层 (共20层),89.21,平层,塔楼,西南,框架结构,简装,有,44531,商品房,普通住宅,10000
7351,金牛,花牌坊,2室1厅1厨1卫,高楼层 (共33层),82.52,平层,塔楼,东,钢混结构,简装,有,44525,商品房,普通住宅,14000
7352,金牛,马鞍路,1室1厅1厨1卫,低楼层 (共29层),47.95,平层,塔楼,东南,钢混结构,精装,有,2021/11/18,商品房,普通住宅,8300
7353,金牛,华侨城,2室1厅1厨1卫,高楼层 (共16层),50.15,平层,板楼,南,框架结构,精装,有,2021/11/28,商品房,普通住宅,7320
7354,金牛,华侨城,2室2厅1厨1卫,中楼层 (共16层),62.39,平层,塔楼,北,框架结构,精装,有,2021/11/27,商品房,普通住宅,8900
7355,金牛,花牌坊,2室1厅1厨1卫,低楼层 (共33层),57.94,平层,塔楼,东,钢混结构,简装,有,2021/11/22,商品房,普通住宅,8500
7356,金牛,抚琴小区,2室1厅1厨1卫,低楼层 (共32层),79.67,平层,塔楼,东南,钢混结构,精装,有,44520,商品房,普通住宅,15200
7357,金牛,营门口,2室1厅1厨1卫,低楼层 (共6层),53.97,平层,板楼,东南,框架结构,精装,无,2021/11/22,商品房,普通住宅,9100
7358,金牛,金府,3室2厅1厨1卫,中楼层 (共22层),92.7,平层,塔楼,东南,框架结构,简装,有,44532,商品房,普通住宅,12500
7359,金牛,金牛万达,2室2厅1厨1卫,中楼层 (共6层),61.87,平层,板楼,东南 西南,混合结构,精装,无,2021/11/24,商品房,普通住宅,6990
7360,金牛,金牛万达,3室1厅1厨1卫,高楼层 (共33层),90.98,平层,塔楼,东,钢混结构,简装,有,44527,商品房,普通住宅,17300
7361,金牛,营门口,3室2厅1厨1卫,低楼层 (共7层),110.59,平层,板楼,东,混合结构,精装,无,44524,商品房,普通住宅,13800
7362,金牛,西南交大,3室2厅1厨2卫,高楼层 (共9层),123.77,错层,板塔结合,东南,框架结构,精装,有,44532,商品房,普通住宅,19800
7363,金牛,金牛万达,2室1厅1厨1卫,高楼层 (共18层),88.1,平层,塔楼,东南,框架结构,简装,有,44523,商品房,普通住宅,12000
7364,金牛,西南交大,3室2厅1厨2卫,中楼层 (共7层),119.23,平层,板楼,东,砖混结构,简装,无,44519,商品房,普通住宅,14100
7365,金牛,营门口,1室1厅1厨1卫,中楼层 (共18层),43.56,平层,板塔结合,东南,框架结构,精装,有,2021/12/1,商品房,普通住宅,6800
7366,金牛,一品天下,1室1厅1厨1卫,高楼层 (共11层),51.0,平层,板塔结合,东南,框架结构,简装,有,2021/12/2,商品房,普通住宅,5800
7367,金牛,高家庄,2室1厅1厨1卫,低楼层 (共18层),61.95,平层,板楼,东南,框架结构,简装,有,2021/12/7,商品房,普通住宅,6750
7368,金牛,天回镇,4室2厅1厨2卫,高楼层 (共31层),117.83,平层,板楼,南 北,钢混结构,简装,有,44083,商品房,普通住宅,17200
7369,金牛,华侨城,2室1厅1厨1卫,中楼层 (共16层),67.83,平层,板楼,南,框架结构,简装,有,2021/12/5,商品房,普通住宅,8200
7370,金牛,一品天下,1室1厅1厨1卫,中楼层 (共5层),62.18,跃层,塔楼,东南,框架结构,精装,有,2021/12/7,商品房,普通住宅,7500
7371,金牛,华侨城,3室1厅1厨1卫,高楼层 (共6层),81.0,平层,板楼,东南,砖混结构,毛坯,无,2021/11/30,商品房,普通住宅,8000
