,类别,行政区,点评数,口味,环境,服务,人均消费
5378,浙菜,K,16.0,7.3,7.2,7.2,44.0
5382,川菜,K,946.0,8.7,8.1,7.9,79.0
5383,甜点,K,244.0,7.8,7.7,7.7,22.0
5384,烧烤,K,8.0,7.2,7.1,7.1,58.0
5386,啡厅,K,82.0,7.2,7.1,7.0,38.0
5388,西餐,K,1911.0,7.6,8.3,7.9,191.0
5392,本菜,K,213.0,7.9,8.0,8.3,140.0
5396,川菜,K,3041.0,8.7,8.6,8.4,76.0
5397,西餐,K,1387.0,7.7,8.4,8.0,195.0
5398,啡厅,K,546.0,7.6,7.8,7.4,38.0
5403,浙菜,K,1153.0,7.1,7.9,6.9,125.0
5404,西餐,K,1942.0,7.9,8.5,8.1,148.0
5408,本菜,K,1053.0,6.7,7.0,6.6,199.0
5412,亚菜,K,626.0,7.9,8.5,8.2,119.0
5415,亚菜,K,2397.0,8.1,8.3,7.8,176.0
5416,浙菜,K,50.0,6.9,6.7,6.8,59.0
5417,快餐,K,4.0,7.5,7.5,7.5,15.0
5418,烧烤,K,126.0,7.2,7.0,7.2,57.0
5419,火锅,K,49.0,7.4,7.2,7.5,88.0
5423,火锅,K,76.0,8.0,7.8,8.0,84.0
5427,烧烤,K,34.0,7.6,7.4,7.4,27.0
5428,西餐,K,152.0,7.4,8.4,8.0,137.0
5430,州菜,K,3445.0,8.6,9.0,8.3,169.0
5431,本菜,K,169.0,9.0,7.5,8.3,87.0
5432,亚菜,K,614.0,6.7,6.7,6.6,85.0
5433,西餐,K,2167.0,8.8,9.0,8.8,122.0
5434,甜点,K,194.0,7.9,8.1,7.3,35.0
5435,啡厅,K,82.0,7.6,7.7,7.9,65.0
5439,助餐,K,2848.0,6.9,7.1,7.0,123.0
5443,料理,K,300.0,7.6,7.6,7.6,69.0
5444,湘菜,K,107.0,7.1,8.2,7.7,82.0
5448,烧烤,K,10.0,7.0,6.7,6.8,43.0
5449,火锅,K,142.0,8.9,9.0,8.9,93.0
5454,美食,K,135.0,7.5,7.1,6.9,31.0
5455,快餐,K,67.0,7.1,6.8,6.8,15.0
5458,快餐,K,218.0,8.6,7.9,8.7,23.0
5462,北菜,K,163.0,7.4,7.1,7.2,74.0
5463,甜点,K,44.0,8.0,7.6,8.1,25.0
5466,西餐,K,61.0,7.4,7.4,7.5,88.0
5467,美食,K,69.0,8.1,7.8,7.7,43.0
5468,啡厅,K,122.0,8.1,7.6,7.5,56.0
5473,浙菜,K,766.0,6.9,5.9,5.9,14.0
5475,烧烤,K,44.0,7.5,7.3,7.5,40.0
5476,湘菜,K,210.0,7.7,7.8,7.7,80.0
5478,海鲜,K,558.0,9.0,9.1,9.0,271.0
5483,甜点,K,29.0,7.0,7.3,7.0,11.0
5484,快餐,K,434.0,8.8,8.8,8.7,29.0
5488,川菜,K,286.0,7.3,7.4,7.3,56.0
5489,啡厅,K,258.0,7.9,7.9,8.2,35.0
5492,川菜,K,9.0,6.9,6.8,6.9,46.0
5493,粤菜,K,19.0,6.8,7.1,6.8,72.0
5494,北菜,K,23.0,6.9,6.8,6.9,29.0
5495,粤菜,K,478.0,7.7,8.2,7.7,109.0
5496,助餐,K,261.0,6.2,7.1,6.3,124.0
5497,西餐,K,62.0,8.0,8.3,8.2,123.0
5498,美食,K,181.0,6.7,6.6,6.5,69.0
5500,快餐,K,3.0,7.1,7.0,7.0,18.0
5501,甜点,K,581.0,8.0,7.8,7.1,23.0
5502,浙菜,K,736.0,7.2,6.5,6.4,75.0
5506,海鲜,K,77.0,7.6,7.4,7.5,92.0
5507,火锅,K,1263.0,7.7,7.6,7.7,106.0
5509,川菜,K,2232.0,8.0,8.3,8.4,91.0
5510,粤菜,K,1919.0,7.5,7.9,8.0,80.0
5511,粤菜,K,98.0,7.8,7.7,7.9,60.0
5512,火锅,K,593.0,8.6,8.8,8.6,126.0
5513,火锅,K,298.0,8.2,8.9,8.5,88.0
5514,快餐,K,95.0,7.7,7.7,7.6,31.0
5515,快餐,K,305.0,7.4,7.4,7.6,19.0
5516,本菜,K,1049.0,9.2,8.7,9.1,125.0
5517,本菜,K,1052.0,8.8,8.7,8.7,335.0
5518,本菜,K,482.0,6.9,7.4,7.0,198.0
5519,料理,K,935.0,7.8,8.3,8.2,104.0
5520,西餐,K,793.0,8.7,8.8,9.1,115.0
5521,西餐,K,2681.0,8.7,9.0,9.0,88.0
5522,西餐,K,230.0,8.5,8.7,8.6,75.0
5523,甜点,K,136.0,7.9,8.2,7.7,45.0
5524,甜点,K,209.0,7.9,7.8,8.1,15.0
5525,甜点,K,68.0,7.7,7.7,7.8,31.0
5526,甜点,K,148.0,7.2,7.3,7.2,17.0
5527,美食,K,294.0,7.3,7.7,7.3,25.0
5528,啡厅,K,696.0,8.2,8.7,8.1,51.0
5530,海鲜,K,2750.0,8.6,7.8,8.6,149.0
5535,甜点,K,73.0,7.3,7.4,6.7,14.0
5538,火锅,K,1607.0,9.0,8.8,9.1,123.0
5539,啡厅,K,62.0,7.6,7.6,7.5,36.0
5542,烧烤,K,8.0,7.1,7.1,7.1,43.0
5543,粤菜,K,8.0,7.1,7.0,7.1,43.0
5549,浙菜,K,170.0,7.6,7.5,7.2,68.0
5551,快餐,K,170.0,7.5,7.5,7.1,24.0
5554,西餐,K,61.0,7.2,7.0,7.0,20.0
5556,快餐,K,194.0,7.3,7.4,7.3,40.0
5558,啡厅,K,49.0,7.4,7.6,7.5,333.0
5560,火锅,K,669.0,7.7,6.8,7.2,107.0
5561,快餐,K,335.0,7.7,7.5,7.7,25.0
5562,西餐,K,38.0,7.8,8.3,8.3,138.0
5564,北菜,K,4.0,7.0,7.0,7.0,46.0
5565,龙虾,K,64.0,7.3,7.1,7.4,73.0
5566,快餐,K,106.0,8.1,8.4,8.1,26.0
5568,啡厅,K,137.0,7.8,7.7,7.5,41.0
5571,粤菜,K,51.0,6.5,6.4,6.5,21.0
5572,火锅,K,408.0,6.6,6.5,6.5,71.0
5573,西餐,K,840.0,7.9,7.8,7.6,74.0
5575,料理,K,1707.0,8.9,8.8,8.8,90.0
5577,粤菜,K,61.0,8.0,8.3,7.2,165.0
5579,啡厅,K,79.0,8.1,8.1,8.0,27.0
5582,湘菜,K,103.0,7.2,7.1,7.2,66.0
5584,快餐,K,11.0,7.0,7.0,7.0,16.0
5586,本菜,K,277.0,7.1,7.1,6.9,44.0
5587,西餐,K,876.0,7.4,7.3,7.1,67.0
5589,海鲜,K,846.0,9.0,8.9,8.7,278.0
5590,川菜,K,78.0,7.1,6.9,7.2,60.0
5591,龙虾,K,17.0,6.5,6.5,6.9,43.0
5594,火锅,K,3132.0,8.1,7.4,7.5,58.0
5595,快餐,K,321.0,7.6,7.3,7.3,39.0
5597,川菜,K,37.0,6.8,6.6,6.7,45.0
5600,粤菜,K,11.0,7.1,7.1,7.1,51.0
5601,烧烤,K,12.0,7.8,7.7,7.5,62.0
5603,川菜,K,123.0,6.8,7.3,6.8,59.0
5606,湾菜,K,309.0,6.8,6.5,6.7,79.0
5607,快餐,K,3426.0,7.2,7.1,6.9,54.0
5608,快餐,K,612.0,7.8,7.7,7.5,27.0
5610,亚菜,K,2611.0,7.4,7.1,7.0,35.0
5611,西餐,K,628.0,7.4,6.9,7.1,25.0
5612,甜点,K,2134.0,7.6,7.0,7.0,38.0
5613,美食,K,429.0,6.5,6.4,6.2,38.0
5614,美食,K,14.0,7.0,6.9,6.9,18.0
