,类别,行政区,点评数,口味,环境,服务,人均消费
51339,浙菜,B,35.0,6.7,6.6,6.6,35.0
51341,啡厅,C,31.0,7.4,7.5,7.6,46.0
51343,快餐,B,33.0,7.7,7.5,7.7,30.0
51344,快餐,B,159.0,7.5,7.4,7.5,24.0
51345,啡厅,B,7.0,7.0,7.2,7.2,25.0
51347,快餐,B,13.0,7.4,7.5,7.2,27.0
51352,川菜,B,13.0,7.3,7.4,7.3,42.0
51353,快餐,B,19.0,7.2,6.8,7.0,13.0
51354,湘菜,E,72.0,8.0,8.0,7.9,68.0
51355,火锅,E,2095.0,8.1,8.0,8.0,101.0
51362,快餐,E,209.0,6.6,6.3,6.2,15.0
51363,甜点,E,133.0,7.7,7.7,8.0,16.0
51365,美食,H,44.0,6.6,6.4,6.4,19.0
51366,火锅,E,32.0,6.9,7.0,7.1,98.0
51367,快餐,B,811.0,7.1,6.3,6.3,17.0
51369,火锅,E,7013.0,7.8,7.0,7.4,90.0
51382,快餐,B,89.0,7.4,7.4,7.3,16.0
51383,浙菜,I,432.0,6.9,6.9,6.5,107.0
51384,美食,I,100.0,8.3,8.6,8.0,94.0
51385,川菜,I,22.0,7.0,6.7,6.8,47.0
51386,快餐,D,360.0,7.9,7.8,7.8,36.0
51393,快餐,C,14.0,7.0,7.1,7.2,50.0
51394,西餐,C,10.0,7.1,7.0,7.1,16.0
51395,西餐,D,294.0,8.9,8.7,8.8,47.0
51397,浙菜,I,227.0,8.4,7.2,7.6,63.0
51398,湘菜,I,794.0,7.8,8.0,8.0,66.0
51400,快餐,I,178.0,7.2,6.9,6.9,29.0
51401,西餐,I,1652.0,7.5,7.4,7.2,74.0
51402,甜点,I,48.0,6.8,6.8,6.7,10.0
51404,美食,I,36.0,7.0,6.8,6.8,70.0
51405,烧烤,I,183.0,8.0,8.4,8.2,76.0
51409,龙虾,C,2931.0,8.2,7.1,7.6,169.0
51414,啡厅,B,1041.0,7.4,8.2,7.9,56.0
51417,美食,B,240.0,7.5,7.3,7.2,72.0
51418,甜点,E,7.0,7.1,7.0,7.1,18.0
51421,快餐,E,14.0,7.3,7.0,7.2,15.0
51424,浙菜,B,821.0,7.2,6.9,6.5,67.0
51425,川菜,I,28.0,7.1,6.8,7.1,54.0
51426,快餐,E,14.0,7.4,7.4,7.3,11.0
51427,快餐,B,248.0,7.2,6.9,6.9,22.0
51428,快餐,D,200.0,7.5,7.2,7.1,33.0
51429,快餐,D,152.0,7.7,7.6,7.6,21.0
51435,西餐,C,17.0,7.1,6.8,6.9,34.0
51436,甜点,E,46.0,6.8,6.8,6.6,15.0
51441,粤菜,D,36.0,7.2,7.2,7.2,76.0
51443,美食,H,3.0,6.8,6.8,6.8,50.0
51447,川菜,E,54.0,6.5,6.4,6.5,37.0
51448,快餐,E,86.0,7.0,6.7,6.8,12.0
51454,甜点,B,17.0,7.3,7.2,7.3,15.0
51458,浙菜,D,1007.0,7.7,6.1,6.9,59.0
51459,甜点,B,265.0,7.8,7.6,7.6,15.0
51460,川菜,D,5419.0,8.3,7.4,7.6,78.0
51464,快餐,B,83.0,8.6,8.5,8.6,32.0
51469,川菜,I,28.0,7.0,6.7,6.8,34.0
51470,川菜,I,30.0,7.3,7.5,7.3,73.0
51471,火锅,I,1539.0,8.7,8.7,8.0,102.0
51475,快餐,B,79.0,7.4,7.7,7.6,19.0
51479,快餐,D,17.0,7.1,6.6,7.2,15.0
51480,粤菜,B,169.0,7.6,7.9,7.6,312.0
51483,甜点,C,41.0,7.8,8.0,8.0,18.0
51495,甜点,B,752.0,7.8,7.6,7.5,27.0
51496,啡厅,C,116.0,7.8,7.9,8.1,28.0
51500,甜点,E,154.0,7.6,7.4,7.1,131.0
51505,浙菜,C,124.0,7.3,8.1,7.7,361.0
51506,粤菜,C,49.0,7.3,8.2,7.4,174.0
51507,助餐,C,2259.0,7.9,8.9,8.7,275.0
51508,助餐,C,26.0,6.9,7.1,7.1,144.0
51514,湘菜,B,2558.0,7.5,7.5,7.0,88.0
51515,湘菜,B,4.0,6.8,6.8,6.8,68.0
51516,烧烤,I,23.0,6.9,6.4,6.4,45.0
51517,疆菜,D,11.0,7.0,7.1,7.0,26.0
51525,啡厅,B,66.0,7.2,7.4,7.3,35.0
51531,粤菜,C,8.0,7.6,7.2,7.5,54.0
51535,火锅,C,12.0,6.7,6.7,6.8,29.0
51536,美食,C,155.0,7.3,7.3,7.3,24.0
51538,甜点,B,56.0,7.0,6.9,6.8,18.0
51539,北菜,C,201.0,6.5,6.1,5.9,60.0
51543,快餐,B,60.0,7.5,7.7,7.6,31.0
51544,快餐,B,1480.0,7.0,6.7,6.7,26.0
51545,本菜,B,1513.0,7.4,6.9,7.2,26.0
51546,西餐,B,19.0,6.8,6.9,6.8,31.0
51550,快餐,C,30.0,6.9,7.0,7.4,28.0
51551,西餐,H,369.0,8.7,8.6,8.5,57.0
51553,素菜,C,1154.0,8.5,8.3,8.8,76.0
51556,湾菜,H,315.0,6.9,6.3,6.7,22.0
51558,啡厅,C,613.0,7.3,8.7,7.7,58.0
51560,浙菜,E,284.0,7.0,6.1,6.4,81.0
51561,美食,E,27.0,7.1,7.2,7.0,36.0
51570,火锅,E,155.0,8.5,9.1,8.7,116.0
51571,甜点,E,371.0,7.9,8.5,8.3,39.0
51572,甜点,E,42.0,7.4,7.6,7.7,17.0
51577,啡厅,I,17.0,7.5,7.5,7.5,20.0
51578,啡厅,E,36.0,7.7,7.5,7.6,52.0
51583,甜点,C,84.0,7.5,7.2,7.7,16.0
51585,川菜,B,6.0,6.2,6.5,6.5,35.0
51587,北菜,D,100.0,6.7,6.4,6.2,73.0
51590,快餐,I,45.0,7.5,7.5,7.5,22.0
51592,火锅,I,114.0,7.6,7.6,7.5,94.0
51595,甜点,D,801.0,7.6,7.5,7.6,15.0
51602,粤菜,B,3030.0,7.3,7.2,6.8,87.0
51606,浙菜,C,55.0,8.3,8.7,8.1,95.0
51609,甜点,I,3.0,7.2,7.2,7.2,12.0
51612,啡厅,C,409.0,7.7,8.5,8.2,81.0
51616,粤菜,C,161.0,6.5,6.4,6.5,47.0
51617,亚菜,C,14.0,7.2,7.4,7.4,34.0
51619,快餐,D,53.0,7.4,7.4,7.5,23.0
51620,川菜,B,19.0,7.0,7.0,7.0,30.0
51623,甜点,I,30.0,7.3,7.2,7.2,161.0
51625,美食,E,48.0,7.1,6.9,7.0,17.0
51627,海鲜,E,3.0,7.4,7.4,7.4,112.0
51628,啡厅,B,154.0,7.9,7.9,8.1,25.0
51629,快餐,B,9.0,6.9,7.0,6.8,18.0
51631,湘菜,H,2.0,7.0,7.0,7.0,82.0
51635,火锅,C,77.0,8.7,8.4,9.1,149.0
51639,助餐,B,24.0,6.6,6.4,6.3,67.0
51640,快餐,D,17.0,7.3,7.1,7.2,39.0
51643,烧烤,E,86.0,7.3,6.8,7.1,43.0
51644,龙虾,C,86.0,7.5,7.2,7.2,119.0
51646,川菜,B,8.0,7.1,7.1,7.0,61.0
51654,浙菜,C,390.0,8.1,5.9,7.1,121.0
51656,啡厅,C,248.0,8.8,8.6,9.0,46.0
51658,浙菜,E,4.0,7.4,7.4,7.4,15.0
51660,快餐,E,21.0,7.9,8.1,8.2,24.0
51661,本菜,E,16.0,7.8,7.8,7.8,38.0
51663,甜点,E,67.0,6.7,6.8,6.6,14.0
51666,北菜,E,38.0,6.7,6.7,6.7,23.0
51671,甜点,D,137.0,7.1,6.9,6.9,16.0
51679,啡厅,H,26.0,6.7,6.8,6.7,108.0
51687,快餐,B,145.0,7.1,6.2,6.4,10.0
51690,川菜,I,23.0,7.4,7.0,7.2,60.0
51695,浙菜,C,567.0,8.2,8.7,7.9,210.0
51699,西餐,C,859.0,8.7,9.0,8.9,188.0
51710,浙菜,B,3095.0,8.1,8.2,7.5,205.0
51711,粤菜,C,2850.0,7.5,7.6,7.1,121.0
51713,料理,H,18.0,7.0,7.0,7.0,31.0
51714,料理,H,47.0,6.5,6.4,6.6,35.0
51716,快餐,C,86.0,6.7,6.7,6.7,22.0
51718,西餐,C,776.0,7.8,8.5,8.0,58.0
51723,西餐,C,325.0,7.7,8.0,7.9,180.0
51725,粤菜,C,14446.0,8.1,7.4,7.2,127.0
51726,烧烤,C,930.0,7.8,8.1,7.5,91.0
51727,西餐,C,3048.0,7.9,7.8,7.5,204.0
51746,川菜,B,4699.0,7.0,5.4,5.9,59.0
51749,啡厅,B,41.0,8.4,8.3,8.4,18.0
51753,本菜,E,1767.0,9.0,9.0,9.0,187.0
51754,本菜,E,2353.0,8.9,8.5,8.3,410.0
51757,料理,H,1062.0,7.2,6.5,6.6,56.0
51759,粤菜,B,61.0,6.7,6.7,6.4,81.0
51761,火锅,B,456.0,9.2,9.1,9.2,157.0
51762,火锅,B,17.0,7.3,7.2,7.2,24.0
51764,快餐,B,16.0,7.3,7.1,7.0,26.0
51767,甜点,B,40.0,7.8,7.6,7.9,18.0
51773,烧烤,H,43.0,7.2,7.4,7.3,51.0
51774,烧烤,B,38.0,7.1,6.6,6.9,15.0
51775,龙虾,I,1130.0,8.4,7.9,7.6,115.0
51780,粤菜,I,186.0,7.8,7.8,7.9,80.0
51783,快餐,I,3.0,7.3,7.3,7.3,10.0
51791,快餐,C,139.0,7.8,7.3,7.3,31.0
51793,浙菜,B,27.0,7.8,7.6,7.9,75.0
51794,浙菜,B,2.0,7.7,7.7,7.7,25.0
51801,海鲜,C,455.0,9.1,9.1,9.1,1108.0
51803,快餐,D,35.0,7.4,6.8,7.3,12.0
51804,粤菜,B,41.0,7.1,7.4,7.5,44.0
51806,快餐,C,414.0,8.1,6.8,7.2,28.0
51808,湘菜,D,53.0,7.3,7.0,6.9,41.0
51809,烧烤,D,76.0,6.5,6.3,6.4,32.0
51813,本菜,C,696.0,8.3,7.8,8.4,85.0
51815,美食,C,155.0,7.9,7.1,7.2,20.0
51817,啡厅,B,41.0,7.6,7.7,7.8,38.0
51824,海鲜,E,1437.0,7.7,8.1,7.8,231.0
51825,快餐,B,514.0,6.6,6.7,6.6,18.0
51826,甜点,B,776.0,7.2,7.2,6.7,23.0
51827,啡厅,B,222.0,7.3,7.7,7.3,34.0
51832,本菜,I,227.0,7.6,7.5,7.7,50.0
51833,浙菜,E,3319.0,8.6,8.1,8.1,119.0
51835,快餐,E,96.0,6.3,6.3,6.4,19.0
51839,川菜,I,122.0,7.6,7.8,7.5,83.0
51842,快餐,E,17.0,6.8,6.8,6.4,31.0
51844,龙虾,I,255.0,7.9,7.4,7.6,115.0
51846,浙菜,B,94.0,6.6,6.5,6.3,123.0
51847,快餐,B,551.0,7.2,6.9,6.8,46.0
51848,西餐,B,21475.0,7.1,6.9,6.7,60.0
51850,川菜,B,30.0,7.3,7.5,7.2,58.0
51851,浙菜,E,368.0,6.2,6.7,6.3,120.0
51854,烧烤,E,301.0,8.2,8.7,8.2,100.0
51857,烧烤,B,48.0,6.9,6.7,6.7,32.0
51858,快餐,D,24.0,7.3,7.2,7.2,19.0
51867,湘菜,I,22.0,7.1,6.8,6.8,41.0
51868,美食,D,647.0,8.7,8.9,8.4,169.0
51869,快餐,D,4559.0,7.5,8.1,7.5,35.0
51875,快餐,D,73.0,7.5,7.2,7.5,4.0
51883,快餐,C,3.0,6.6,6.9,6.9,30.0
51889,浙菜,H,419.0,7.9,8.3,8.2,88.0
51892,快餐,B,10.0,6.9,6.9,6.8,17.0
51894,川菜,H,55.0,7.0,6.5,6.7,30.0
51896,火锅,D,86.0,7.6,7.6,7.5,95.0
51899,西餐,C,161.0,7.8,9.1,8.9,99.0
51903,甜点,B,32.0,8.5,8.4,8.5,13.0
51904,甜点,I,14.0,7.6,7.6,7.6,40.0
51906,火锅,B,216.0,7.1,7.2,7.1,77.0
51907,本菜,D,1309.0,8.9,9.1,8.9,358.0
51910,西餐,B,52.0,7.8,8.3,8.4,26.0
51916,湘菜,E,7.0,7.4,7.3,7.3,19.0
51920,西餐,E,30.0,7.6,7.6,7.7,29.0
51933,火锅,B,301.0,7.7,6.8,6.9,89.0
51934,湾菜,D,8.0,7.2,6.8,6.8,24.0
51939,西餐,I,28.0,7.4,7.4,7.4,32.0
51956,浙菜,C,8.0,7.0,6.9,6.9,20.0
51957,美食,C,22.0,7.0,7.1,7.2,20.0
51959,北菜,C,2762.0,7.0,6.3,6.3,62.0
51960,快餐,C,12.0,6.5,6.8,7.2,32.0
51962,快餐,D,28.0,6.6,7.6,7.1,23.0
51963,快餐,D,167.0,7.0,6.5,6.8,19.0
51971,浙菜,B,532.0,7.2,6.6,6.3,80.0
51975,火锅,D,189.0,8.6,8.9,8.6,81.0
51977,川菜,B,614.0,7.7,7.3,7.4,67.0
51978,火锅,B,15.0,7.7,7.6,7.8,66.0
51979,快餐,B,392.0,8.0,8.1,8.3,40.0
51980,快餐,B,84.0,7.1,6.7,6.8,18.0
51981,本菜,B,166.0,8.1,8.2,8.0,153.0
51982,料理,B,9.0,7.0,6.9,7.0,29.0
51983,甜点,B,691.0,8.4,7.9,8.4,38.0
51986,啡厅,B,78.0,8.3,8.4,8.4,33.0
51989,快餐,H,11.0,7.0,6.7,7.0,17.0
51990,粤菜,E,270.0,8.0,7.7,7.5,35.0
51993,快餐,B,856.0,7.7,8.3,7.7,32.0
52001,快餐,B,137.0,7.3,7.2,7.1,21.0
52002,火锅,C,7219.0,7.7,7.0,7.2,88.0
52004,快餐,I,39.0,7.4,7.2,7.2,15.0
52007,快餐,D,16.0,7.4,6.8,7.0,4.0
52008,西菜,B,4094.0,7.7,7.8,7.2,95.0
52011,快餐,I,23.0,7.6,7.6,7.6,17.0
52012,甜点,I,4.0,7.4,7.2,7.2,18.0
52014,浙菜,D,825.0,8.3,7.7,7.9,26.0
52015,甜点,D,21.0,7.5,7.4,7.6,14.0
52019,甜点,I,47.0,6.8,6.7,6.7,38.0
52024,西餐,I,45.0,7.4,7.5,7.4,52.0
52026,啡厅,C,114.0,8.1,8.2,8.3,43.0
52032,亚菜,H,16.0,8.1,7.8,8.1,70.0
52033,湘菜,B,250.0,7.9,6.8,7.4,35.0
52036,快餐,B,145.0,7.3,7.0,6.8,18.0
52039,北菜,H,65.0,7.4,6.9,7.0,61.0
52040,啡厅,H,24.0,6.6,6.6,6.5,57.0
52043,啡厅,C,58.0,7.6,7.9,7.9,40.0
52047,甜点,C,1053.0,7.5,7.9,7.5,55.0
52049,浙菜,B,16.0,7.5,7.4,7.5,24.0
52050,啡厅,C,35.0,8.6,8.2,8.7,80.0
52051,川菜,E,2244.0,7.8,7.4,7.3,61.0
52054,甜点,E,31.0,7.6,7.5,7.5,220.0
52057,快餐,B,132.0,7.8,7.5,7.5,35.0
52058,浙菜,C,486.0,7.7,7.1,7.1,105.0
52059,美食,C,1141.0,8.6,8.9,7.9,202.0
52061,浙菜,B,30.0,6.9,6.7,6.9,45.0
52063,火锅,I,108.0,7.6,7.2,7.4,79.0
52067,浙菜,B,162.0,7.8,7.4,7.6,83.0
52069,快餐,F,31.0,7.0,6.9,7.1,16.0
52070,甜点,F,8.0,6.6,6.8,7.0,13.0
52073,北菜,I,18.0,7.1,6.9,7.0,23.0
52074,快餐,I,65.0,8.3,8.4,8.1,31.0
52077,快餐,I,17.0,7.6,7.4,7.6,25.0
52078,甜点,I,18.0,6.8,7.1,7.1,24.0
52079,快餐,B,30.0,7.2,6.6,7.0,10.0
52081,浙菜,H,23.0,7.7,7.9,7.8,73.0
52082,烧烤,I,2.0,7.0,6.9,6.9,50.0
52083,北菜,B,25.0,7.1,7.1,7.1,15.0
52085,快餐,B,2.0,7.2,6.9,7.2,17.0
52086,快餐,B,17.0,7.5,7.2,7.4,29.0
52087,浙菜,B,6.0,7.1,7.1,7.1,40.0
52089,浙菜,I,225.0,8.5,8.3,8.6,46.0
52090,浙菜,I,761.0,6.3,7.0,6.6,110.0
52091,川菜,I,55.0,7.7,7.7,7.3,27.0
52092,火锅,I,438.0,8.2,8.3,8.1,75.0
52093,助餐,I,441.0,6.9,6.8,6.7,57.0
52094,火锅,I,103.0,7.4,7.4,7.5,30.0
52096,快餐,I,186.0,7.6,7.6,7.6,28.0
52097,快餐,I,38.0,7.6,7.6,7.3,23.0
52099,快餐,I,2.0,7.5,7.5,7.5,34.0
52103,甜点,I,65.0,7.0,6.9,6.8,12.0
52104,美食,I,470.0,6.8,7.0,6.8,62.0
52106,美食,I,35.0,7.3,7.0,7.2,46.0
52108,快餐,B,815.0,7.0,6.3,6.3,16.0
52112,川菜,I,27.0,6.6,6.5,6.4,47.0
52113,快餐,I,14.0,6.9,6.9,7.1,10.0
52114,火锅,H,39.0,7.8,7.6,7.5,59.0
52115,快餐,B,8.0,6.9,7.0,7.0,15.0
52116,火锅,E,456.0,7.6,8.2,8.0,98.0
52117,西餐,E,131.0,8.1,8.3,8.3,99.0
52118,西餐,E,50.0,7.3,7.5,7.6,49.0
52119,美食,E,167.0,7.2,7.5,7.3,106.0
52120,快餐,B,365.0,8.2,7.8,7.8,45.0
52123,浙菜,H,1102.0,8.2,7.8,8.1,76.0
52124,快餐,E,28.0,6.9,6.9,7.1,40.0
52126,北菜,E,33.0,7.1,7.0,6.8,55.0
52130,快餐,C,310.0,9.0,7.8,9.0,13.0
52131,快餐,B,11.0,6.9,6.9,6.9,32.0
52132,龙虾,B,86.0,6.9,6.8,6.7,108.0
52136,快餐,I,129.0,7.5,7.1,7.2,16.0
52137,甜点,I,33.0,7.6,7.8,7.5,14.0
52141,浙菜,B,2012.0,8.3,8.0,7.6,97.0
52142,川菜,B,24.0,7.1,6.9,7.0,36.0
52143,川菜,B,19.0,7.4,7.0,7.1,28.0
52144,粤菜,B,640.0,7.0,7.6,7.1,88.0
52145,粤菜,B,1355.0,7.0,6.5,6.6,72.0
52148,湘菜,B,607.0,8.8,9.0,8.8,80.0
52149,素菜,B,77.0,8.5,9.1,9.0,84.0
52150,火锅,B,339.0,8.9,8.3,9.0,84.0
52151,火锅,B,131.0,8.0,8.3,8.6,98.0
52152,快餐,B,33.0,7.1,7.0,7.1,48.0
52153,快餐,B,23.0,7.2,6.9,6.8,20.0
52154,料理,B,3251.0,8.9,9.0,8.9,117.0
52156,西餐,B,39.0,8.1,7.9,8.2,117.0
52158,甜点,B,225.0,9.1,9.1,9.2,154.0
52159,甜点,B,1110.0,8.6,8.8,8.5,44.0
52160,甜点,B,31.0,7.2,7.1,7.4,53.0
52161,甜点,B,74.0,7.6,7.6,7.9,20.0
52162,甜点,B,267.0,7.4,7.4,7.5,18.0
52167,啡厅,B,683.0,7.4,7.7,7.2,50.0
52168,啡厅,B,175.0,7.7,7.6,7.4,39.0
52178,助餐,I,1254.0,7.4,7.4,7.1,62.0
52181,西餐,I,284.0,8.4,8.3,7.8,79.0
52182,啡厅,I,63.0,7.7,7.8,7.4,39.0
52194,甜点,I,223.0,7.9,7.7,7.8,23.0
52195,快餐,C,1444.0,7.8,7.6,7.4,24.0
52197,川菜,H,51.0,7.8,8.3,8.1,77.0
52198,疆菜,H,6.0,7.3,7.2,7.2,18.0
52199,西餐,C,339.0,7.6,7.5,7.1,22.0
52202,啡厅,C,124.0,7.4,7.4,7.5,34.0
52205,西餐,B,557.0,8.5,9.0,8.8,150.0
52206,快餐,C,938.0,8.4,7.4,7.9,25.0
52208,甜点,I,20.0,7.4,7.5,7.6,14.0
52209,美食,I,13.0,6.9,6.9,6.9,22.0
52213,烧烤,B,329.0,6.8,6.5,6.6,54.0
52214,啡厅,B,117.0,7.8,8.3,8.1,36.0
52217,甜点,I,377.0,7.5,7.6,7.5,39.0
52220,甜点,C,99.0,7.4,7.5,7.8,17.0
52222,快餐,B,24.0,7.5,8.1,7.7,49.0
52227,啡厅,E,58.0,7.3,7.3,7.0,40.0
52228,快餐,C,125.0,7.9,7.1,7.2,20.0
52229,浙菜,B,63.0,7.0,7.0,6.9,52.0
52230,浙菜,B,26.0,6.9,6.9,6.8,50.0
52231,快餐,B,58.0,7.5,7.5,7.5,13.0
52235,快餐,B,633.0,6.1,5.3,5.6,12.0
52236,快餐,B,30.0,7.6,7.3,7.5,11.0
52246,浙菜,C,517.0,8.0,6.7,7.0,54.0
52251,快餐,B,670.0,7.6,7.7,7.7,38.0
52252,甜点,B,287.0,7.2,7.1,7.4,24.0
52253,海鲜,E,140.0,7.3,6.6,7.2,38.0
52255,常菜,I,116.0,7.5,7.4,7.4,56.0
52256,快餐,C,404.0,7.5,7.5,7.2,22.0
52257,快餐,C,21.0,7.2,7.1,7.1,3.0
52258,快餐,C,26.0,7.0,6.9,6.6,28.0
52261,甜点,I,31.0,7.2,7.2,7.1,12.0
52265,美食,E,406.0,8.4,6.7,7.3,56.0
52273,疆菜,H,90.0,6.8,6.9,6.7,65.0
52275,快餐,I,263.0,7.6,7.3,7.3,37.0
52278,湘菜,I,35.0,7.1,6.8,7.0,34.0
52279,火锅,C,301.0,6.8,6.9,6.6,112.0
52282,本菜,I,26.0,7.4,7.6,7.7,30.0
52288,本菜,D,5.0,7.4,7.4,7.4,50.0
52292,甜点,B,138.0,7.5,7.4,7.2,18.0
52295,快餐,B,116.0,7.4,7.2,7.1,17.0
52297,美食,H,48.0,7.6,7.5,7.4,36.0
52298,川菜,H,124.0,6.8,6.5,6.5,56.0
52299,快餐,I,724.0,7.8,7.7,7.7,18.0
52300,火锅,H,88.0,7.5,8.1,7.7,102.0
52303,快餐,C,43.0,7.2,7.0,7.2,15.0
52304,烧烤,H,212.0,7.4,8.0,7.8,64.0
52306,甜点,C,28.0,7.9,8.0,8.0,17.0
52308,火锅,H,31.0,8.3,8.4,8.4,89.0
52311,烧烤,H,30.0,8.1,8.3,7.5,99.0
52312,浙菜,C,676.0,8.5,9.1,8.7,453.0
52313,快餐,D,664.0,6.8,6.3,6.1,28.0
52315,烧烤,I,10.0,7.6,7.4,7.4,70.0
52316,川菜,H,148.0,8.2,8.3,8.2,60.0
52320,西餐,C,67.0,8.3,8.8,8.2,100.0
52322,快餐,D,154.0,7.6,7.6,7.3,15.0
52323,甜点,D,27.0,7.3,7.5,7.5,16.0
52328,湘菜,C,1164.0,8.0,7.6,7.6,69.0
52329,甜点,C,276.0,8.2,8.2,8.2,20.0
52331,西餐,E,3864.0,8.2,9.2,8.3,176.0
52334,北菜,H,482.0,7.3,6.8,7.0,68.0
52335,北菜,H,241.0,6.8,6.3,6.5,41.0
52336,甜点,C,214.0,7.7,7.3,7.6,25.0
52339,烧烤,H,232.0,7.4,8.2,7.6,65.0
52342,快餐,H,16.0,7.2,7.4,7.6,12.0
52343,海鲜,I,11.0,7.6,7.6,7.7,52.0
52344,啡厅,E,589.0,7.9,8.0,8.4,73.0
52347,甜点,D,34.0,7.3,7.1,7.3,14.0
52349,火锅,I,172.0,8.0,8.9,8.0,87.0
52350,快餐,I,339.0,7.9,7.6,7.7,40.0
52351,北菜,H,710.0,8.4,8.2,7.8,26.0
52354,火锅,H,9.0,7.6,7.2,7.7,61.0
52358,川菜,H,394.0,8.3,8.1,7.7,52.0
52360,浙菜,B,225.0,8.3,8.3,7.4,178.0
52361,川菜,B,459.0,8.3,8.1,8.4,45.0
52362,川菜,B,290.0,8.3,9.1,8.6,112.0
52364,川菜,B,217.0,7.7,8.1,7.9,102.0
52365,粤菜,B,195.0,8.6,8.4,8.4,134.0
52367,粤菜,B,70.0,8.5,8.5,8.5,86.0
52368,粤菜,B,156.0,8.0,8.7,8.2,84.0
52369,粤菜,B,45.0,7.9,8.0,8.1,36.0
52370,湘菜,B,415.0,8.5,9.0,8.8,91.0
52371,火锅,B,340.0,9.0,9.0,8.9,125.0
52372,火锅,B,62.0,7.8,7.4,7.4,33.0
52373,助餐,B,35.0,7.2,7.5,7.5,111.0
52375,快餐,B,105.0,8.2,7.9,8.0,37.0
52376,快餐,B,117.0,7.5,7.9,7.8,39.0
52377,快餐,B,32.0,7.4,7.4,7.5,26.0
52378,快餐,B,15.0,7.9,7.6,7.7,24.0
52379,快餐,B,58.0,7.3,7.2,6.7,35.0
52380,快餐,B,19.0,7.6,7.6,7.9,22.0
52381,快餐,B,43.0,7.6,7.3,7.5,20.0
52383,本菜,B,68.0,8.7,8.6,9.0,94.0
52385,烧烤,B,241.0,7.3,7.5,7.3,119.0
52387,亚菜,B,71.0,7.4,7.3,8.3,59.0
52388,亚菜,B,216.0,6.7,8.0,7.6,132.0
52390,西餐,B,419.0,9.0,9.1,9.0,103.0
52391,西餐,B,67.0,8.5,8.7,8.9,35.0
52392,西餐,B,67.0,9.1,8.9,9.0,92.0
52393,西餐,B,78.0,8.4,9.0,9.1,85.0
52394,西餐,B,58.0,8.0,9.0,8.8,147.0
52395,西餐,B,22.0,8.2,8.2,8.4,78.0
52398,甜点,B,189.0,8.2,8.4,8.8,42.0
52399,甜点,B,371.0,7.8,8.2,8.0,39.0
52400,甜点,B,102.0,8.0,7.7,8.0,16.0
52402,甜点,B,864.0,7.3,7.7,7.3,21.0
52403,甜点,B,264.0,7.8,7.6,7.4,19.0
52404,甜点,B,32.0,8.3,8.0,8.2,26.0
52405,甜点,B,21.0,7.7,7.5,7.7,26.0
52406,甜点,B,40.0,7.8,7.9,8.1,22.0
52408,甜点,B,28.0,8.2,7.7,7.8,32.0
52410,甜点,B,40.0,7.6,7.5,7.4,33.0
52411,甜点,B,32.0,7.0,6.8,5.5,8.0
52413,甜点,B,10.0,8.1,7.8,8.1,17.0
52415,美食,B,76.0,8.0,8.6,9.0,26.0
52417,南菜,B,122.0,7.9,8.3,8.2,95.0
52418,海鲜,B,184.0,8.6,8.5,8.8,155.0
52419,海鲜,B,335.0,7.9,7.6,7.6,138.0
52420,烧烤,B,262.0,9.1,9.2,9.3,185.0
52425,浙菜,H,179.0,7.0,6.7,7.0,64.0
52426,啡厅,B,17.0,7.0,6.9,6.9,13.0
52427,西餐,B,73.0,7.5,7.9,7.9,49.0
52428,快餐,C,424.0,7.5,7.4,7.3,31.0
52430,美食,H,33.0,7.4,7.5,7.3,28.0
52431,啡厅,C,274.0,8.1,8.3,8.3,30.0
52435,快餐,D,31.0,7.2,7.1,7.1,17.0
52439,火锅,H,166.0,8.5,8.4,8.5,107.0
52445,甜点,H,80.0,8.4,8.3,8.5,24.0
52449,快餐,C,98.0,7.8,6.3,7.1,34.0
52450,西餐,C,21.0,7.0,7.2,7.2,38.0
52452,北菜,H,371.0,7.0,6.8,6.6,55.0
52453,浙菜,E,93.0,7.7,7.5,7.5,66.0
52457,啡厅,B,15.0,7.4,7.6,7.3,18.0
52463,湘菜,H,1057.0,8.3,8.4,8.8,63.0
52465,海鲜,H,28.0,6.8,6.7,6.8,73.0
52467,甜点,D,4269.0,7.7,7.6,7.4,22.0
52469,西餐,H,27.0,7.6,7.6,7.6,57.0
52479,快餐,D,17.0,6.7,6.7,6.8,25.0
52480,甜点,D,32.0,7.3,6.8,7.3,53.0
52482,甜点,C,4.0,7.0,7.0,7.0,18.0
52484,川菜,I,22.0,7.2,6.9,7.0,43.0
52485,快餐,I,47.0,7.6,7.3,7.4,25.0
52487,快餐,D,162.0,7.2,6.4,6.7,24.0
52489,快餐,E,50.0,6.9,6.9,6.7,17.0
52492,甜点,E,40.0,8.1,8.5,8.6,22.0
52493,甜点,B,294.0,7.2,7.2,7.0,18.0
52497,快餐,B,36.0,7.0,7.6,7.3,35.0
52498,快餐,B,31.0,7.2,7.5,7.4,29.0
52499,甜点,B,66.0,7.5,7.5,7.4,18.0
52500,甜点,B,18.0,7.7,7.7,7.7,26.0
52508,啡厅,H,45.0,8.2,8.3,8.3,29.0
52512,甜点,C,60.0,6.9,7.0,6.7,15.0
52513,快餐,D,64.0,7.6,7.0,7.6,22.0
52514,快餐,D,8.0,7.3,7.0,7.0,13.0
52516,甜点,C,897.0,7.7,7.4,7.1,21.0
52517,浙菜,C,569.0,7.6,9.0,7.9,562.0
